IPO Status,Ticker Code,Company Name,Sector,Subsector,Listing Board,Final Price (Rp),Return D1,Return D2,Return D3,Return D4,Return D5,Return D6,Return D7,Return from Listing Date,Line of Business,Address,Website,Number of shares offered,% of Total Shares,Participant Admin,Underwriter(s),Book Building Opening,Book Building Closing,Lowest Book Building Price (Rp),Highest Book Building Price (Rp),Opening of Offering Period,Closing of Offering Period,Closing Date,Distribution Date,Listing Date,Warrant per share ratio,Exercise Price (Warrant) (Rp)
Closed,NEST,PT Esta Indonesia Tbk,Consumer Non-Cyclicals,"Fish, Meat, & Poultry",,200.0,0.35,0.007407407407407408,0.07352941176470588,-0.0547945205479452,-0.050724637681159424,0.0916030534351145,-0.04195804195804196,0.39,Bergerak dalam bidang Pembibitan dan Budidaya Burung Walet dan Perdagangan Besar Sarang Burung Walet,"Terboyo Industri II/2, Terboyo Megah Industri, Semarang 50112 - Indonesia",https://www.estaindonesia.co.id,822500000,20.0,HD - KGI SEKURITAS INDONESIA,['HD - KGI SEKURITAS INDONESIA'],2024-07-22,2024-07-24,160,200,2024-08-01,2024-08-06,2024-08-06,2024-08-07,2024-08-08,0.0,
Closed,DOSS,PT Global Sukses Digital Tbk,Consumer Cyclicals,Electronics Retail,,135.0,0.34814814814814815,0.34065934065934067,0.040983606557377046,-0.05511811023622047,-0.025,-0.017094017094017096,-0.008695652173913044,0.6592592592592592,Perdagangan Eceran Alat Fotografi dan Perlengkapannya,"Jl. Tebah No. 4., Kel. Gunung, Kec. Kebayoran Baru, Jakarta Selatan",https://www.globalsuksesdigital.com,450000000,26.09,IF - SAMUEL SEKURITAS INDONESIA,['IF - SAMUEL SEKURITAS INDONESIA'],2024-07-22,2024-07-26,130,135,2024-08-01,2024-08-05,2024-08-05,2024-08-06,2024-08-07,0.0,
Closed,LABS,PT UBC Medical Indonesia Tbk,Healthcare,Healthcare Equipment,Pengembangan,102.0,0.3431372549019608,0.34306569343065696,0.06521739130434782,-0.1326530612244898,0.058823529411764705,-0.044444444444444446,0.0,0.35294117647058826,Distributor Alat Kesehatan,"Kawasan Industri Pulogadung, Jl. Rawagelam V, Blok L, No Kav 11-13, Kel. Jatinegara Kec. Cakung Jakarta Timur, Jakarta",https://www.ubcindonesia.com,700000000,18.0,YJ - LOTUS ANDALAN SEKURITAS,['YJ - LOTUS ANDALAN SEKURITAS'],2024-06-19,2024-06-26,100,105,2024-07-02,2024-07-08,2024-07-08,2024-07-09,2024-07-10,0.0,
Closed,GOLF,PT Intra GolfLink Resorts Tbk,Consumer Cyclicals,Recreational & Sports Facilities,Utama,200.0,0.35,0.007407407407407408,-0.11764705882352941,0.0,-0.041666666666666664,-0.05217391304347826,0.027522935779816515,0.15,"Bergerak Dalam Bidang Jasa Konsultasi Manajemen dan Pengelolaan Lapangan Golf, Pengembangan Properti","Desa Kadumanggu, Kecamatan Madang Bogor 16810 – Jawa Barat",https://www.golflinkresorts.co.id/id,1950000000,10.0,IF - SAMUEL SEKURITAS INDONESIA,"['IF - SAMUEL SEKURITAS INDONESIA', 'CP - KB VALBURY SEKURITAS', 'LG - TRIMEGAH SEKURITAS INDONESIA TBK.', 'MG - SEMESTA INDOVEST SEKURITAS']",2024-06-20,2024-06-25,200,230,2024-07-02,2024-07-04,2024-07-04,2024-07-05,2024-07-08,0.0,
Closed,GUNA,PT. Gunanusa Eramandiri Tbk.,Consumer Non-Cyclicals,Processed Foods,Pengembangan,150.0,0.3466666666666667,0.24752475247524752,0.24603174603174602,-0.050955414012738856,-0.020134228187919462,0.0547945205479452,-0.03896103896103896,1.0533333333333332,"Industri makanan dari kedele dan kacang-kacangan lainnya bukan kecap, tempe dan tahu","Kawasan Industri BIIE Hyundai Jl. Inti I Kav. 3 No. 3 Kelurahan Cibatu, Kecamatan Cikarang Selatan, Kabupaten Bekasi, Provinsi Jawa Barat 17550",https://www.gunanusaeramandiri.com,500000000,20.0,GR - PANIN SEKURITAS TBK.,['GR - PANIN SEKURITAS TBK.'],2024-06-20,2024-06-26,100,150,2024-07-02,2024-07-05,2024-07-05,2024-07-08,2024-07-09,0.0,
Closed,BLES,PT Superior Prima Sukses Tbk,Basic Materials,Construction Materials,Utama,183.0,0.3442622950819672,0.24390243902439024,-0.10457516339869281,0.0072992700729927005,-0.06521739130434782,-0.03875968992248062,0.024193548387096774,0.3224043715846995,Industri Bata Ringan dan Semen Mortar,,https://superiorprimasukses.com,1313824000,15.0,YJ - LOTUS ANDALAN SEKURITAS,['YJ - LOTUS ANDALAN SEKURITAS'],2024-06-11,2024-06-20,175,185,2024-07-01,2024-07-04,2024-07-04,2024-07-05,2024-07-08,0.0,
Closed,ISEA,PT Indo American Seafoods Tbk,Consumer Non-Cyclicals,Processed Foods,Pengembangan,250.0,0.248,0.02564102564102564,0.1875,0.23157894736842105,-0.24786324786324787,0.005681818181818182,0.06779661016949153,-0.592,"Industri Pembekuan Biota Air Lainnya, Industri Makanan dan Masakan Olahan, Industri Berbasis Daging","Jl. Ir. Sutami KM 13, Desa Sukanegara, Kecamatan Tanjung Bintang, Kabupaten Lampung Selatan, Provinsi Lampung, Indonesia – 35361.",https://www.indoamericanseafoods.com/,290000000,21.0,CP - KB VALBURY SEKURITAS,['CP - KB VALBURY SEKURITAS'],2024-06-14,2024-06-24,220,250,2024-07-01,2024-07-04,2024-07-04,2024-07-05,2024-07-08,0.5,226.0
Closed,PART,PT Cipta Perdana Lancar Tbk,Consumer Cyclicals,Auto Parts & Equipment,Pengembangan,105.0,0.24761904761904763,-0.16030534351145037,0.05454545454545454,0.05172413793103448,0.05737704918032787,-0.007751937984496124,0.0390625,0.5619047619047619,"Perseroan bergerak di bidang Manufaktur Komponen Suku Cadang Otomotif, Elektronik dan Sanitasi","Jl. Prabu Siliwangi KM 0,5 Keroncong, Kec. Jatiuwung, Kota Tangerang Banten 15134",https://www.ciptaperdanalancar.com,680000000,25.0,EP - MNC SEKURITAS,"['EP - MNC SEKURITAS', 'AO - ERDIKHA ELIT SEKURITAS', 'CP - KB VALBURY SEKURITAS']",2024-06-14,2024-06-24,100,105,2024-07-01,2024-07-03,2024-07-03,2024-07-04,2024-07-05,1.0,110.0
Closed,SPRE,PT Soraya Berjaya Indonesia Tbk,Consumer Cyclicals,Apparel & Textile Retail,Akselerasi,125.0,0.096,0.0948905109489051,-0.02666666666666667,0.0958904109589041,0.1,0.09659090909090909,0.09844559585492228,2.088,industri dan perdagangan barang jadi keperluan rumah tangga,"Jl. Bandes, Keluarahan Aie Pacah, Kecamatan Koto Tangah, Kota Padang, Sumatera Barat 25176",https://sorayaberjaya.id/,240000000,30.0,EP - MNC SEKURITAS,['EP - MNC SEKURITAS'],2024-06-10,2024-06-12,120,130,2024-06-27,2024-07-01,2024-07-01,2024-07-02,2024-07-03,0.0,
Closed,BATR,PT Benteng Api Technic Tbk,Basic Materials,Construction Materials,Pengembangan,110.0,0.09090909090909091,-0.06666666666666667,-0.13392857142857142,0.05154639175257732,-0.12745098039215685,-0.056179775280898875,0.10714285714285714,-0.2545454545454545,Manufaktur & Perdagangan produk Refraktori (Material Tahan Api) dan Insulasi Tahan Panas beserta J,"Jl. Kebraon II No. 103 A, Surabaya, Jawa Timur 60222",https://bentengapi.com/,620000000,21.0,HD - KGI SEKURITAS INDONESIA,['HD - KGI SEKURITAS INDONESIA'],2024-05-17,2024-05-21,100,115,2024-06-03,2024-06-06,2024-06-06,2024-06-07,2024-06-10,1.0,300.0
